الرواية,المؤلف,البلد,السنة,رابط,رابط آخر
ليلة ألسنين العشر,محمد صالح الجابري,تونس,1982,,
موسم الهجرة إلى الشمال,الطيب صالح,السودان,1966,https://archive.org/details/20200919_20200919_0957,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D9%85%D9%88%D8%B3%D9%85_%D8%A7%D9%84%D9%87%D8%AC%D8%B1%D8%A9_%D8%A5%D9%84%D9%89_%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84_%D8%A7%D9%84%D8%B7%D9%8A%D8%A8_%D8%B5%D8%A7%D9%84%D8%AD%20.pdf
ذاكرة الجسد,احلام مستغانمي,الجزائر,1993,https://archive.org/details/wecairo_live_20170606,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%B0%D8%A7%D9%83%D8%B1%D8%A9_%D8%A7%D9%84%D8%AC%D8%B3%D8%AF_%D8%A7%D8%AD%D9%84%D8%A7%D9%85_%D9%85%D8%B3%D8%AA%D8%BA%D8%A7%D9%86%D9%85%D9%8A.pdf
الخبز الحافى,محمد شكري,المغرب,1982,https://archive.org/details/koullab_P.n,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D8%AE%D8%A8%D8%B2_%D8%A7%D9%84%D8%AD%D8%A7%D9%81%D9%8A_%D9%85%D8%AD%D9%85%D8%AF_%D8%B4%D9%83%D8%B1%D9%8A.pdf
تشريفة آل المر,عبد الكريم ناصيف,سوريا,1998,,
دار المتعة,وليد اخلاصي,سوريا,1991,https://archive.org/details/moharram1000_gmail_20171107_1908,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%AF%D8%A7%D8%B1_%D8%A7%D9%84%D9%85%D8%AA%D8%B9%D8%A9_%D9%88%D9%84%D9%8A%D8%AF_%D8%A7%D8%AE%D9%84%D8%A7%D8%B5%D9%8A.pdf
أنا أحيا,ليلى بعلبكي,لبنان,1958,https://archive.org/details/colour_4design_hotmail_20150117_1945,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%86%D8%A7_%D8%A3%D8%AD%D9%8A%D8%A7_%D9%84%D9%8A%D9%84%D9%89_%D8%A8%D8%B9%D9%84%D8%A8%D9%83%D9%8A.pdf
الأفيال,فتحى غانم,مصر,1985,https://archive.org/details/Heliopolis1957_gmail_20190302_0147,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D8%A7%D9%81%D9%8A%D8%A7%D9%84_%D9%81%D8%AA%D8%AD%D9%8A_%D8%BA%D8%A7%D9%86%D9%85%20.pdf
نجران تحت الصفر,يحيى يخلف,فلسطين,1977,https://mktbtypdf.com/book/%D9%86%D8%AC%D8%B1%D8%A7%D9%86-%D8%AA%D8%AD%D8%AA-%D8%A7%D9%84%D8%B5%D9%81%D8%B1/,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D9%86%D8%AC%D8%B1%D8%A7%D9%86_%D8%AA%D8%AD%D8%AA_%D8%A7%D9%84%D8%B5%D9%81%D8%B1_%D9%8A%D8%AD%D9%8A%D9%89_%D9%8A%D8%AE%D9%84%D9%81.pdf
العشاق,رشاد أبو شاور,فلسطين,1977,,
